Date,Pond_ID,AMMONIA_mg_L,DO_mg_L,PH,TEMP_C
2020-02-29,Station_C,0.16,5.59,8.1,26.1
2020-03-01,Station_A,0.16,5.05,7.6,28.3
2020-03-01,Station_B,0.37,6.63,7.7,27.0
2020-03-01,Station_C,0.28,5.54,7.9,27.6
2020-03-02,Station_A,0.23,5.59,8.2,29.1
2020-03-02,Station_B,0.36,5.97,8.1,29.2
2020-03-02,Station_C,0.11,5.54,7.9,28.5
2020-03-03,Station_A,0.14,6.67,8.2,28.1
2020-03-03,Station_B,0.18,5.04,8.1,26.5
2020-03-03,Station_C,0.18,6.11,8.0,29.3
2020-03-04,Station_A,0.1,5.27,8.1,29.5
2020-03-04,Station_B,0.28,6.33,7.6,29.7
2020-03-04,Station_C,0.21,6.04,7.5,26.7
2020-03-05,Station_A,0.12,6.21,7.7,27.6
2020-03-05,Station_B,0.21,6.44,7.7,28.3
2020-03-05,Station_C,0.3,6.87,8.0,26.9
2020-03-06,Station_A,0.18,6.19,7.5,28.0
2020-03-06,Station_B,0.2,6.54,7.6,26.3
2020-03-06,Station_C,0.25,6.38,7.8,27.0
2020-03-07,Station_A,0.34,6.39,7.7,28.4
2020-03-07,Station_B,0.13,6.83,7.6,29.8
2020-03-07,Station_C,0.16,6.08,8.1,28.9
2020-03-08,Station_A,0.3,6.38,8.1,27.0
2020-03-08,Station_B,0.17,6.98,8.2,26.2
2020-03-08,Station_C,0.38,5.36,7.9,29.7
2020-03-09,Station_A,0.31,5.59,8.1,29.9
2020-03-09,Station_B,0.24,6.72,8.1,27.3
2020-03-09,Station_C,0.11,6.19,7.7,26.5
2020-03-10,Station_A,0.31,5.68,8.0,26.3
2020-03-10,Station_B,0.26,6.58,7.7,28.5
2020-03-10,Station_C,0.28,5.47,7.5,29.5
2020-03-11,Station_A,0.36,6.06,8.2,29.2
2020-03-11,Station_B,0.21,6.53,7.8,27.9
2020-03-11,Station_C,0.36,6.97,8.0,27.7
2020-03-12,Station_A,0.32,5.48,7.6,27.4
2020-03-12,Station_B,0.19,5.47,7.5,26.1
2020-03-12,Station_C,0.23,5.77,8.0,26.9
2020-03-13,Station_A,0.34,5.18,7.8,29.5
2020-03-13,Station_B,0.24,6.23,7.6,30.0
2020-03-13,Station_C,0.38,6.3,7.9,28.1
2020-03-14,Station_A,0.15,5.44,7.6,29.1
2020-03-14,Station_B,0.12,6.94,8.1,29.7
2020-03-14,Station_C,0.15,5.79,8.0,28.8
2020-03-15,Station_A,0.34,5.45,7.7,28.1
2020-03-15,Station_B,0.27,5.18,8.1,27.1
2020-03-15,Station_C,0.37,6.91,8.1,29.2
2020-03-16,Station_A,0.27,5.17,7.8,27.5
2020-03-16,Station_B,0.32,5.99,7.6,26.9
2020-03-16,Station_C,0.12,6.7,7.8,27.9
2020-03-17,Station_A,0.35,5.7,8.0,28.3
2020-03-17,Station_B,0.36,6.59,8.0,29.4
2020-03-17,Station_C,0.31,6.67,8.0,28.7
2020-03-18,Station_A,0.33,5.32,8.1,29.5
2020-03-18,Station_B,0.35,5.26,7.7,29.0
2020-03-18,Station_C,0.35,6.66,7.9,26.0
2020-03-19,Station_A,0.29,6.96,7.9,27.0
2020-03-19,Station_B,0.26,6.56,7.6,29.0
2020-03-19,Station_C,0.39,5.68,7.9,29.7
2020-03-20,Station_A,0.38,6.38,7.5,27.2
2020-03-20,Station_B,0.12,6.16,7.7,28.5
2020-03-20,Station_C,0.36,6.95,8.2,29.0
2020-03-21,Station_A,0.33,5.05,7.5,27.3
2020-03-21,Station_B,0.33,6.37,7.8,27.1
2020-03-21,Station_C,0.23,5.9,7.6,29.2
2020-03-22,Station_A,0.17,5.16,8.0,28.6
2020-03-22,Station_B,0.39,5.3,7.8,29.8
2020-03-22,Station_C,0.29,5.8,7.7,29.9
2020-03-23,Station_A,0.37,5.46,7.6,26.1
2020-03-23,Station_B,0.21,6.73,7.8,29.9
2020-03-23,Station_C,0.36,6.55,8.0,29.4
2020-03-24,Station_A,0.29,5.26,7.5,29.7
2020-03-24,Station_B,0.34,5.96,7.6,26.5
2020-03-24,Station_C,0.23,5.4,7.8,26.3
2020-03-25,Station_A,0.18,6.6,7.7,27.8
2020-03-25,Station_B,0.12,5.78,7.8,28.4
2020-03-25,Station_C,0.31,6.72,8.0,26.2
2020-03-26,Station_A,0.13,5.48,8.2,26.6
2020-03-26,Station_B,0.29,6.4,7.9,26.0
2020-03-26,Station_C,0.26,5.18,7.7,26.1
2020-03-27,Station_A,0.22,5.27,7.9,28.8
2020-03-27,Station_B,0.16,5.33,7.6,28.5
2020-03-27,Station_C,0.11,6.87,7.5,28.2
2020-03-28,Station_A,0.36,6.43,8.1,27.4
2020-03-28,Station_B,0.12,6.79,7.9,29.3
2020-03-28,Station_C,0.29,6.05,8.0,26.3
2020-03-29,Station_A,0.17,5.32,8.1,26.9
2020-03-29,Station_B,0.2,5.36,8.1,28.6
2020-03-29,Station_C,0.27,6.44,7.7,30.0
2020-03-30,Station_A,0.3,5.4,8.0,26.3
2020-03-30,Station_B,0.18,5.93,8.1,28.9
2020-03-30,Station_C,0.23,5.69,7.8,30.0
2020-03-31,Station_A,0.36,6.16,7.8,28.9
2020-03-31,Station_B,0.36,6.8,7.8,27.1
2020-03-31,Station_C,0.37,5.42,7.9,28.5
2020-04-01,Station_A,0.14,6.43,8.1,26.7
2020-04-01,Station_B,0.39,5.36,8.1,28.0
2020-04-01,Station_C,0.36,5.89,7.9,27.4
2020-04-02,Station_A,0.15,5.78,8.2,27.0
2020-04-02,Station_B,0.2,6.55,7.6,29.9
2020-04-02,Station_C,0.17,5.15,7.6,28.1
2020-04-03,Station_A,0.35,5.86,7.7,28.5
2020-04-03,Station_B,0.15,5.34,7.5,28.9
2020-04-03,Station_C,0.24,6.69,8.1,28.3
2020-04-04,Station_A,0.16,5.22,7.7,26.2
2020-04-04,Station_B,0.38,5.08,7.6,27.8
2020-04-04,Station_C,0.19,6.01,7.5,26.6
2020-04-05,Station_A,0.39,5.01,8.2,28.6
2020-04-05,Station_B,0.24,6.03,7.8,28.7
2020-04-05,Station_C,0.11,5.62,8.0,26.8
2020-04-06,Station_A,0.39,5.19,8.0,27.8
2020-04-06,Station_B,0.15,6.39,8.1,29.8
2020-04-06,Station_C,0.25,6.24,8.1,28.3
2020-04-07,Station_A,0.38,6.38,8.0,26.9
2020-04-07,Station_B,0.22,6.3,7.6,28.6
2020-04-07,Station_C,0.11,6.95,7.8,29.5
2020-04-08,Station_A,0.27,6.48,8.1,27.6
2020-04-08,Station_B,0.3,6.62,8.0,29.2
2020-04-08,Station_C,0.35,5.24,7.9,26.0
2020-04-09,Station_A,0.21,5.79,8.0,27.6
2020-04-09,Station_B,0.17,5.75,7.7,26.3
2020-04-09,Station_C,0.3,6.24,7.8,27.5
2020-04-10,Station_A,0.26,5.96,7.5,27.4
2020-04-10,Station_B,0.22,6.16,7.9,28.4
2020-04-10,Station_C,0.34,6.44,8.2,26.1
2020-04-11,Station_A,0.1,6.29,8.1,27.0
2020-04-11,Station_B,0.12,6.87,7.7,26.4
2020-04-11,Station_C,0.18,5.57,7.7,29.2
2020-04-12,Station_A,0.19,6.22,8.0,27.1
2020-04-12,Station_B,0.14,5.36,8.0,26.7
2020-04-12,Station_C,0.31,5.21,7.9,27.0
2020-04-13,Station_A,0.25,6.61,7.9,26.2
2020-04-13,Station_B,0.39,6.2,8.1,29.5
2020-04-13,Station_C,0.16,6.22,7.8,29.4
2020-04-14,Station_A,0.21,5.47,8.0,27.1
2020-04-14,Station_B,0.23,6.34,7.6,28.5
2020-04-14,Station_C,0.28,5.34,8.0,29.5
2020-04-15,Station_A,0.13,5.05,7.9,28.4
2020-04-15,Station_B,0.17,5.78,7.9,28.0
2020-04-15,Station_C,0.14,6.39,7.8,27.7
2020-04-16,Station_A,0.31,6.98,7.6,26.4
2020-04-16,Station_B,0.27,5.55,7.6,26.3
2020-04-16,Station_C,0.16,5.65,7.7,27.4
2020-04-17,Station_A,0.26,5.14,8.1,26.9
2020-04-17,Station_B,0.36,6.3,7.9,27.3
2020-04-17,Station_C,0.3,6.99,8.0,28.2
2020-04-18,Station_A,0.24,5.12,7.9,29.8
2020-04-18,Station_B,0.31,5.4,7.9,26.4
2020-04-18,Station_C,0.33,5.7,8.0,29.2
2020-04-19,Station_A,0.17,5.8,7.6,30.0
2020-04-19,Station_B,0.26,6.68,7.9,28.5
2020-04-19,Station_C,0.33,5.26,8.1,29.1
2020-04-20,Station_A,0.11,5.61,7.7,27.4
2020-04-20,Station_B,0.38,6.11,7.7,27.6
2020-04-20,Station_C,0.28,6.03,8.1,28.0
2020-04-21,Station_A,0.36,5.42,8.2,26.5
2020-04-21,Station_B,0.21,6.76,8.1,29.2
2020-04-21,Station_C,0.19,5.16,7.8,26.7
2020-04-22,Station_A,0.2,6.95,7.9,29.3
2020-04-22,Station_B,0.36,6.85,7.8,28.4
2020-04-22,Station_C,0.15,6.01,7.8,26.6
2020-04-23,Station_A,0.12,5.05,7.6,29.9
2020-04-23,Station_B,0.39,5.86,7.7,28.0
2020-04-23,Station_C,0.13,6.28,7.7,28.5
2020-04-24,Station_A,0.15,5.12,8.0,27.8
2020-04-24,Station_B,0.4,5.12,8.0,29.9
2020-04-24,Station_C,0.14,5.24,7.7,26.4
2020-04-25,Station_A,0.12,6.02,8.2,29.3
2020-04-25,Station_B,0.19,6.25,7.9,27.7
2020-04-25,Station_C,0.37,5.9,7.6,27.5
2020-04-26,Station_A,0.35,6.47,8.0,26.0
2020-04-26,Station_B,0.24,5.04,7.7,29.0
2020-04-26,Station_C,0.26,5.43,7.5,27.0
2020-04-27,Station_A,0.34,6.92,7.8,26.4
2020-04-27,Station_B,0.24,6.69,7.6,28.0
2020-04-27,Station_C,0.2,6.47,7.8,27.5
2020-04-28,Station_A,0.24,6.57,8.1,29.8
2020-04-28,Station_B,0.19,6.38,7.8,27.0
2020-04-28,Station_C,0.11,6.8,7.8,28.5
2020-04-29,Station_A,0.37,6.27,7.9,26.3
2020-04-29,Station_B,0.15,6.47,7.9,28.7
2020-04-29,Station_C,0.13,6.43,7.6,26.3
2020-04-30,Station_A,0.39,6.48,7.7,27.2
2020-04-30,Station_B,0.33,6.32,7.6,26.7
2020-04-30,Station_C,0.3,6.53,7.7,26.1
2020-05-01,Station_A,0.39,5.59,8.0,28.5
2020-05-01,Station_B,0.16,5.24,7.9,29.1
2020-05-01,Station_C,0.26,5.08,8.2,29.2
2020-05-02,Station_A,0.39,6.2,7.9,29.0
2020-05-02,Station_B,0.3,5.26,7.7,29.7
2020-05-02,Station_C,0.21,5.86,7.8,28.5
2020-05-03,Station_A,0.17,5.24,7.6,29.5
2020-05-03,Station_B,0.19,6.63,8.1,29.4
2020-05-03,Station_C,0.18,6.51,7.8,29.4
2020-05-04,Station_A,0.33,6.31,7.6,28.2
2020-05-04,Station_B,0.38,5.09,7.6,26.5
2020-05-04,Station_C,0.35,5.43,7.9,29.4
2020-05-05,Station_A,0.26,6.18,7.9,27.2
2020-05-05,Station_B,0.31,6.75,7.9,29.0
2020-05-05,Station_C,0.24,5.02,7.7,28.9
2020-05-06,Station_A,0.13,5.8,8.1,26.8
2020-05-06,Station_B,0.32,6.23,7.6,27.4
2020-05-06,Station_C,0.27,5.01,8.0,26.1
2020-05-07,Station_A,0.16,6.92,7.8,27.3
2020-05-07,Station_B,0.19,6.75,8.2,27.5
2020-05-07,Station_C,0.32,6.77,7.9,27.6
2020-05-08,Station_A,0.31,5.01,7.9,27.4
2020-05-08,Station_B,0.13,6.18,7.8,28.6
2020-05-08,Station_C,0.27,6.12,7.9,28.4
2020-05-09,Station_A,0.34,5.54,8.1,28.0
2020-05-09,Station_B,0.12,5.67,8.0,28.8
2020-05-09,Station_C,0.26,5.88,7.6,27.3
2020-05-10,Station_A,0.13,5.44,7.9,28.9
2020-05-10,Station_B,0.38,6.29,7.8,28.5
2020-05-10,Station_C,0.14,5.82,8.1,27.5
2020-05-11,Station_A,0.28,5.37,7.8,27.3
2020-05-11,Station_B,0.11,6.66,7.7,28.1
2020-05-11,Station_C,0.38,5.52,7.8,29.5
2020-05-12,Station_A,0.16,6.61,7.8,27.9
2020-05-12,Station_B,0.12,6.46,7.8,27.7
2020-05-12,Station_C,0.33,5.32,7.9,26.5
2020-05-13,Station_A,0.3,6.91,7.5,26.2
2020-05-13,Station_B,0.18,5.49,8.1,27.0
2020-05-13,Station_C,0.33,5.9,8.0,26.3
2020-05-14,Station_A,0.11,5.13,8.1,26.6
2020-05-14,Station_B,0.22,5.69,8.1,26.1
2020-05-14,Station_C,0.39,6.12,8.2,26.2
2020-05-15,Station_A,0.18,6.46,8.2,27.0
2020-05-15,Station_B,0.16,6.13,7.8,29.9
2020-05-15,Station_C,0.2,5.23,7.6,26.9
2020-05-16,Station_A,0.36,6.12,7.9,26.5
2020-05-16,Station_B,0.32,5.14,8.0,28.2
2020-05-16,Station_C,0.24,5.97,7.6,29.8
2020-05-17,Station_A,0.3,5.92,7.8,28.6
2020-05-17,Station_B,0.12,6.03,8.1,27.8
2020-05-17,Station_C,0.34,5.4,7.7,26.7
2020-05-18,Station_A,0.33,6.04,7.6,29.5
2020-05-18,Station_B,0.36,5.48,7.8,29.9
2020-05-18,Station_C,0.11,5.13,7.8,29.6
2020-05-19,Station_A,0.25,5.21,8.0,29.3
2020-05-19,Station_B,0.33,6.93,7.6,28.1
2020-05-19,Station_C,0.34,6.16,7.9,29.2
2020-05-20,Station_A,0.37,6.07,7.6,28.8
2020-05-20,Station_B,0.2,6.71,8.1,27.1
2020-05-20,Station_C,0.14,5.4,7.6,29.6
2020-05-21,Station_A,0.15,5.88,7.9,26.3
2020-05-21,Station_B,0.34,6.01,8.2,27.7
2020-05-21,Station_C,0.3,6.27,7.6,29.5
2020-05-22,Station_A,0.15,5.03,7.9,28.1
2020-05-22,Station_B,0.37,5.16,8.0,26.7
2020-05-22,Station_C,0.35,6.08,8.0,27.3
2020-05-23,Station_A,0.35,5.92,7.8,28.0
2020-05-23,Station_B,0.2,5.35,8.0,29.3
2020-05-23,Station_C,0.17,5.28,7.7,27.8
2020-05-24,Station_A,0.3,6.24,7.7,29.4
2020-05-24,Station_B,0.39,6.27,7.6,28.7
2020-05-24,Station_C,0.31,5.14,7.6,29.4
2020-05-25,Station_A,0.35,5.56,8.0,28.8
2020-05-25,Station_B,0.19,5.43,7.5,27.2
2020-05-25,Station_C,0.38,6.74,8.0,29.2
2020-05-26,Station_A,0.18,6.81,8.0,28.2
2020-05-26,Station_B,0.23,5.92,8.1,28.2
2020-05-26,Station_C,0.39,5.22,7.8,26.2
2020-05-27,Station_A,0.38,5.56,8.1,27.2
2020-05-27,Station_B,0.33,6.61,7.5,29.9
2020-05-27,Station_C,0.19,6.66,7.7,29.5
2020-05-28,Station_A,0.31,6.08,7.6,27.0
2020-05-28,Station_B,0.24,5.6,7.9,27.2
2020-05-28,Station_C,0.32,5.1,8.1,29.4
2020-05-29,Station_A,0.28,6.78,7.6,26.3
2020-05-29,Station_B,0.34,5.07,7.9,30.0
2020-05-29,Station_C,0.26,5.13,8.1,28.4
2020-05-30,Station_A,0.13,6.82,8.0,29.3
2020-05-30,Station_B,0.27,6.03,7.8,27.3
2020-05-30,Station_C,0.33,6.2,8.1,27.8
2020-05-31,Station_A,0.29,6.18,8.0,26.9
2020-05-31,Station_B,0.13,5.77,7.8,28.6
2020-05-31,Station_C,0.28,6.49,7.9,28.5
2020-06-01,Station_A,0.18,5.72,7.8,26.2
2020-06-01,Station_B,0.18,6.94,7.7,27.9
2020-06-01,Station_C,2.02,0.7,7.6,28.1
2020-06-02,Station_A,0.11,5.22,7.7,29.2
2020-06-02,Station_B,0.25,5.59,8.2,27.6
2020-06-02,Station_C,0.29,5.23,7.7,28.0
2020-06-03,Station_A,0.25,6.4,8.2,26.5
2020-06-03,Station_B,0.22,5.84,7.8,29.6
2020-06-03,Station_C,0.28,5.62,8.1,29.8
2020-06-04,Station_A,0.1,6.27,7.5,27.0
2020-06-04,Station_B,0.28,6.37,7.6,27.5
2020-06-04,Station_C,0.21,5.24,7.8,29.0
2020-06-05,Station_A,0.12,5.71,8.2,28.7
2020-06-05,Station_B,0.21,6.19,7.5,28.5
2020-06-05,Station_C,0.28,6.75,8.0,26.5
2020-06-06,Station_A,0.12,6.07,7.6,26.0
2020-06-06,Station_B,0.19,5.97,7.9,26.2
2020-06-06,Station_C,0.27,5.69,8.0,28.6
2020-06-07,Station_A,0.31,5.86,8.0,27.1
2020-06-07,Station_B,0.34,5.89,8.1,29.3
2020-06-07,Station_C,0.37,5.86,7.7,28.3
2020-06-08,Station_A,0.28,6.41,8.0,27.5
2020-06-08,Station_B,0.23,5.29,8.1,27.4
2020-06-08,Station_C,0.11,6.29,7.9,27.4
2020-06-09,Station_A,0.22,5.62,8.0,28.4
2020-06-09,Station_B,0.17,6.98,7.8,28.8
2020-06-09,Station_C,0.25,5.06,7.9,29.9
2020-06-10,Station_A,0.11,5.06,7.8,26.6
2020-06-10,Station_B,0.33,5.92,7.7,29.6
2020-06-10,Station_C,0.39,5.63,8.1,28.4
2020-06-11,Station_A,0.4,5.58,8.2,27.6
2020-06-11,Station_B,0.2,6.08,7.6,28.2
2020-06-11,Station_C,0.33,6.67,7.8,27.2
2020-06-12,Station_A,0.16,5.12,7.7,27.1
2020-06-12,Station_B,0.27,5.69,7.9,26.6
2020-06-12,Station_C,0.29,5.98,7.8,30.0
2020-06-13,Station_A,0.29,6.14,7.9,26.8
2020-06-13,Station_B,0.11,5.95,7.9,26.9
2020-06-13,Station_C,0.37,6.44,7.9,29.5
2020-06-14,Station_A,0.34,5.25,8.1,27.1
2020-06-14,Station_B,0.38,5.3,7.8,29.9
